id,age,gender,edu_level,race,family_status,ratio_to_poverty,lang_interview
111656,78,Female,3,Black,Other,1.02,English
111657,6,Male,NA,Black,NA,2.89,English
111658,50,Female,5,Other Hispanic,Other,4.74,English
111659,32,Male,3,Black,Other,NA,English
111660,58,Female,5,Mexican American,Living with Partner,NA,Spanish
111661,6,Male,NA,White,NA,4.51,English
111662,0,Male,NA,Black,NA,1.87,English
111663,68,Female,3,Mexican American,Living with Partner,NA,English
111664,60,Male,2,Black,Living with Partner,NA,English
111665,16,Male,NA,Mexican American,NA,0.7,Spanish
111666,41,Female,4,Black,Other,1.22,English
111667,38,Female,4,White,Other,3.52,English
111668,52,Male,4,White,Living with Partner,4.93,English
111669,45,Male,3,Black,Living with Partner,0.36,English
111670,48,Female,4,Black,Other,1.54,English
111671,39,Male,3,Black,Living with Partner,0.84,English
111673,25,Female,3,White,Living with Partner,NA,English
111674,61,Male,5,White,Living with Partner,NA,English
111675,35,Female,4,Black,Living with Partner,3.03,English
111676,24,Female,5,Black,Other,1.04,English
111678,77,Male,4,White,Other,1.52,English
111679,49,Female,4,Black,Living with Partner,3.31,English
111680,11,Female,NA,Mexican American,NA,NA,Spanish
111681,15,Female,NA,Mexican American,NA,4.66,English
111682,59,Female,2,Mexican American,Living with Partner,5,English
111683,20,Female,4,Other Hispanic,Other,0.45,English
111684,15,Female,NA,White,NA,4.81,English
111685,4,Female,NA,Other Hispanic,NA,NA,Spanish
111686,14,Female,NA,White,NA,0.59,English
111687,72,Male,3,Black,Other,5,English
111688,36,Female,4,Black,Other,1.3,English
111689,14,Female,NA,Black,NA,0.32,English
111690,7,Female,NA,Black,NA,NA,English
111692,38,Female,2,Other Hispanic,Living with Partner,2.29,Spanish
111693,26,Female,5,Missing,Living with Partner,5,English
111694,14,Female,NA,Missing,NA,0.58,English
111695,30,Female,4,Other Hispanic,Other,1.41,English
111696,3,Male,NA,Other Hispanic,NA,NA,Spanish
111697,0,Male,NA,White,NA,5,English
111698,65,Female,3,White,Living with Partner,2.67,English
111699,3,Male,NA,Other,NA,5,English
111700,46,Female,5,White,Other,5,English
111702,0,Female,NA,White,NA,4.66,English
111703,48,Male,4,Other Hispanic,Living with Partner,5,English
111704,52,Female,3,Other,Other,0.08,English
111705,54,Female,3,Mexican American,Other,2.25,English
111706,5,Male,NA,Black,NA,0.67,English
111708,44,Female,4,White,Other,1.66,English
111709,13,Male,NA,Black,NA,NA,English
111710,22,Female,4,Black,Other,5,English
111711,4,Female,NA,White,NA,5,English
111712,60,Male,4,Black,Other,NA,English
111713,10,Female,NA,White,NA,2.55,English
111716,55,Female,3,Other,Living with Partner,1.5,English
111717,56,Female,3,Mexican American,Living with Partner,2.19,Spanish
111719,23,Male,4,Other Hispanic,Other,0.41,English
111720,35,Female,4,White,Living with Partner,1.18,English
111721,1,Male,NA,Black,NA,0,English
111723,66,Female,5,Other,Living with Partner,5,English
111724,31,Female,5,White,Living with Partner,5,English
111726,43,Female,5,Black,Other,NA,English
111729,31,Male,5,Other,Living with Partner,NA,English
111730,3,Male,NA,White,NA,1.96,English
111731,21,Female,4,White,Other,4.29,English
111732,46,Female,5,White,Living with Partner,3.1,English
111733,31,Male,5,Other,Living with Partner,2.43,English
111734,45,Male,3,Mexican American,Living with Partner,0.83,English
111735,8,Male,NA,White,NA,2.82,English
111736,54,Female,5,Other Hispanic,Other,3.6,Spanish
111737,60,Male,1,Black,Other,0.1,English
111738,2,Male,NA,Other,NA,1.38,English
111739,12,Female,NA,White,NA,2.6,English
111740,9,Male,NA,Missing,NA,2.75,English
111741,69,Female,5,White,Other,1.57,English
111742,18,Male,NA,Mexican American,NA,NA,English
111743,0,Female,NA,Black,NA,NA,English
111744,41,Female,5,Black,Other,1.18,English
111745,63,Male,4,White,Living with Partner,5,English
111747,6,Male,NA,White,NA,0.14,English
111748,16,Female,NA,White,NA,3.49,English
111749,63,Male,3,White,Living with Partner,2.16,English
111750,2,Male,NA,Other,NA,4.19,English
111751,55,Female,4,White,Living with Partner,4.74,English
111752,54,Male,5,Other Hispanic,Living with Partner,5,English
111753,51,Male,5,Other Hispanic,Living with Partner,NA,English
111754,66,Female,1,Mexican American,Other,2.3,Spanish
111756,16,Female,NA,White,NA,2.75,English
111758,31,Female,4,White,Living with Partner,5,English
111759,29,Male,5,Other,Living with Partner,3.45,English
111760,47,Male,2,Black,Living with Partner,1.54,English
111761,0,Male,NA,White,NA,5,English
111762,41,Female,4,Black,Other,NA,English
111763,64,Female,4,Black,Other,0.91,English
111764,8,Female,NA,Other,NA,2.15,English
111765,30,Male,5,Other Hispanic,Living with Partner,2.02,English
111766,33,Female,5,Black,Living with Partner,5,English
111767,26,Male,3,Missing,Living with Partner,0.38,English
111768,25,Male,4,Other Hispanic,Other,0.1,English
111769,0,Male,NA,White,NA,5,English
111770,60,Female,3,Black,Living with Partner,0.98,English
111771,10,Male,NA,White,NA,3.42,English
111772,57,Male,2,Black,Other,0.86,English
111773,18,Female,NA,Other Hispanic,NA,1.33,English
111774,19,Female,NA,Mexican American,NA,2,English
111775,9,Male,NA,Black,NA,1.15,English
111776,70,Female,2,Black,Other,1.6,English
111777,23,Male,4,Other,Other,1.79,English
111778,32,Female,3,Mexican American,Living with Partner,2.02,English
111779,53,Female,5,Black,Other,4.78,English
111781,72,Female,3,White,Other,0.94,English
111782,4,Male,NA,Black,NA,NA,English
111783,78,Female,2,White,Living with Partner,1.11,English
111784,75,Male,4,White,Other,4.56,English
111785,10,Male,NA,Other,NA,5,English
111786,61,Female,1,Other Hispanic,Living with Partner,NA,Spanish
111787,57,Male,4,Missing,Other,0.49,English
111788,8,Female,NA,White,NA,5,English
111789,38,Female,4,White,Living with Partner,1.24,English
111790,72,Male,5,White,Living with Partner,4.62,English
111791,52,Female,4,White,Living with Partner,5,English
111792,69,Female,5,White,Living with Partner,5,English
111793,4,Male,NA,Black,NA,0.74,English
111794,35,Male,2,Mexican American,Living with Partner,NA,Spanish
111795,59,Male,5,White,Living with Partner,5,English
111796,34,Male,5,Other Hispanic,Other,5,English
111797,61,Male,3,White,Other,1.74,English
111800,58,Female,3,Black,Living with Partner,3.92,English
111801,35,Female,4,Other,Living with Partner,NA,English
111802,20,Female,4,Black,Other,1.46,English
111803,36,Male,3,Black,Other,1.04,English
111804,60,Female,3,Black,Other,0.31,English
111805,5,Female,NA,White,NA,5,English
111807,11,Male,NA,Mexican American,NA,0.53,Spanish
111808,22,Female,4,Black,Living with Partner,1.58,English
111809,67,Female,5,White,Other,5,English
111811,26,Female,5,Other Hispanic,Other,3.65,English
111812,11,Female,NA,Other Hispanic,NA,1.65,Spanish
111813,5,Female,NA,Black,NA,0.9,English
111814,54,Male,5,Other,Living with Partner,5,English
111817,13,Female,NA,Other,NA,0.65,English
111819,10,Female,NA,Missing,NA,1.22,English
111820,19,Female,NA,Other Hispanic,NA,NA,Spanish
111821,59,Female,5,White,Living with Partner,3.69,English
111822,14,Female,NA,White,NA,0.89,English
111824,63,Male,5,Other,Living with Partner,3.39,English
111825,34,Male,5,Black,Living with Partner,5,English
111827,40,Male,3,White,Living with Partner,1.03,English
111828,39,Female,5,Mexican American,Living with Partner,NA,Spanish
111829,61,Female,4,Other Hispanic,Living with Partner,1.24,English
111830,18,Female,NA,White,NA,1.49,English
111831,41,Male,4,Black,Living with Partner,5,English
111832,0,Female,NA,White,NA,NA,English
111833,26,Female,4,Black,Living with Partner,0.1,English
111834,30,Male,2,White,Living with Partner,1.82,English
111835,72,Male,4,White,Living with Partner,3.98,English
111836,12,Male,NA,Mexican American,NA,1.47,Spanish
111837,19,Male,NA,Black,NA,1.22,English
111838,16,Male,NA,Black,NA,2.78,English
111839,61,Female,3,Other,Living with Partner,NA,English
111841,8,Male,NA,White,NA,3.66,English
111842,10,Female,NA,White,NA,0.92,English
111844,14,Male,NA,White,NA,5,English
111845,34,Female,5,Other,Living with Partner,NA,English
111846,23,Female,4,Missing,Living with Partner,2.32,English
111849,41,Male,5,Other Hispanic,Living with Partner,5,English
111850,42,Female,4,White,Other,2.64,English
111851,2,Female,NA,Other Hispanic,NA,1.39,English
111852,7,Female,NA,White,NA,NA,English
111853,0,Male,NA,Mexican American,NA,0.06,English
111854,1,Male,NA,Missing,NA,2.73,English
111855,14,Male,NA,White,NA,5,English
111856,10,Female,NA,Black,NA,1.62,English
111857,53,Female,5,Black,Other,4.65,English
111858,23,Male,3,Other Hispanic,Other,1.44,Spanish
111859,39,Female,3,Mexican American,Living with Partner,1.47,Spanish
111861,15,Male,NA,Black,NA,1.83,English
111863,78,Female,3,White,Other,3.05,English
111864,34,Male,5,White,Other,1.6,English
111865,11,Male,NA,Black,NA,NA,English
111866,77,Male,3,White,Living with Partner,NA,English
111867,6,Female,NA,White,NA,3.2,English
111868,48,Female,4,Black,Other,NA,English
111869,44,Female,5,Other,Living with Partner,4.25,English
111870,70,Female,4,White,Living with Partner,2.66,English
111871,43,Female,3,White,Living with Partner,1.02,English
111872,38,Female,1,White,Other,0.09,English
111873,6,Male,NA,White,NA,2.82,English
111874,61,Male,4,Black,Other,0.92,English
111875,56,Female,4,Missing,Other,1.18,English
111876,54,Male,3,Missing,Living with Partner,0.93,English
111877,0,Male,NA,Other Hispanic,NA,0.68,English
111878,37,Male,2,Missing,Living with Partner,4.17,English
111879,70,Male,3,Other Hispanic,Living with Partner,1.69,Spanish
111880,14,Male,NA,Other,NA,0.41,English
111881,9,Female,NA,Black,NA,0.05,English
111882,64,Female,5,Other Hispanic,Other,0.59,English
111883,72,Male,4,Black,Living with Partner,4.85,English
111884,60,Male,4,Black,Other,5,English
111886,55,Female,5,Other,Living with Partner,5,English
111887,29,Female,5,Black,Living with Partner,3.98,English
111888,8,Male,NA,Black,NA,1.47,English
111889,9,Male,NA,White,NA,5,English
111890,60,Male,3,Black,Other,3.32,English
111891,9,Female,NA,White,NA,1.49,English
111892,6,Female,NA,Mexican American,NA,0.59,English
111893,66,Female,5,White,Living with Partner,5,English
111894,21,Male,4,Other,Other,1.47,English
111895,66,Male,3,White,Living with Partner,5,English
111896,65,Male,4,Black,Living with Partner,5,English
111897,2,Male,NA,Missing,NA,0.31,English
111898,74,Female,3,Missing,Other,3.46,English
111899,0,Female,NA,Other Hispanic,NA,5,English
111900,55,Female,2,Black,Other,0.62,English
111901,57,Male,1,Mexican American,Living with Partner,1.39,English
111902,0,Male,NA,Mexican American,NA,0,English
111903,27,Male,3,Black,Living with Partner,1.73,English
111904,53,Female,5,Black,Living with Partner,5,English
111905,7,Female,NA,White,NA,1.03,English
111906,45,Male,5,Black,Living with Partner,4.32,English
111908,64,Female,4,White,Living with Partner,1.24,English
111909,56,Female,3,Black,Other,0.72,English
111910,4,Male,NA,Missing,NA,2.1,English
111911,40,Male,2,White,Living with Partner,3.18,English
111912,16,Male,NA,Missing,NA,0.24,English
111913,48,Male,5,Missing,Living with Partner,5,English
111915,12,Male,NA,White,NA,0.68,English
111916,9,Female,NA,White,NA,1.22,English
111917,41,Male,1,Other Hispanic,Living with Partner,0.51,Spanish
111919,2,Female,NA,Other,NA,0.66,English
111920,52,Male,3,Mexican American,Living with Partner,1.02,Spanish
111922,30,Male,5,Other,Living with Partner,5,English
111923,40,Female,4,Black,Other,0.32,English
111925,22,Male,4,Missing,Other,2.13,English
111926,13,Female,NA,Missing,NA,3.21,English
111927,54,Female,5,Other Hispanic,Living with Partner,3.3,English
111928,46,Female,5,Black,Living with Partner,NA,English
111929,61,Male,4,Black,Living with Partner,2.43,English
111930,73,Male,3,Other Hispanic,Other,2.21,English
111931,15,Female,NA,White,NA,4.81,English
111932,10,Female,NA,Black,NA,0.07,English
111934,63,Female,1,Mexican American,Living with Partner,4.93,Spanish
111935,48,Female,3,White,Living with Partner,4.81,English
111936,13,Female,NA,Black,NA,1.22,English
111937,4,Male,NA,White,NA,1.2,English
111938,57,Female,4,White,Living with Partner,5,English
111939,46,Male,4,White,Other,2.03,English
111941,0,Female,NA,Missing,NA,0.52,English
111942,27,Male,4,White,Living with Partner,2.14,English
111944,32,Female,5,White,Other,3.43,English
111945,74,Male,4,White,Living with Partner,1.79,English
111946,29,Female,4,White,Living with Partner,1.2,English
111947,45,Male,3,Black,Living with Partner,2.66,English
111948,6,Female,NA,White,NA,1.7,English
111950,27,Male,3,Black,Living with Partner,NA,English
111951,19,Female,NA,Missing,NA,1.64,English
111952,17,Female,NA,Missing,NA,5,English
111953,16,Female,NA,White,NA,2.21,English
111954,7,Female,NA,Missing,NA,NA,English
111955,17,Female,NA,Other,NA,5,English
111956,65,Male,3,Missing,Living with Partner,0.86,English
111957,0,Female,NA,Black,NA,1.75,English
111958,38,Female,2,Missing,Living with Partner,1.34,English
111959,2,Female,NA,Missing,NA,3.25,English
111960,41,Female,4,White,Living with Partner,3.67,English
111961,9,Female,NA,Mexican American,NA,0.04,Spanish
111962,2,Male,NA,White,NA,3.67,English
111963,20,Female,4,Mexican American,Living with Partner,0.49,English
111964,15,Female,NA,White,NA,1.19,English
111965,3,Female,NA,Other Hispanic,NA,NA,Spanish
111966,33,Male,3,White,Living with Partner,4.14,English
111967,49,Male,2,Other,Living with Partner,NA,English
111968,70,Male,5,Other,Living with Partner,NA,English
111969,9,Male,NA,Black,NA,0.52,English
111970,35,Female,4,White,Living with Partner,1.58,English
111971,45,Male,3,White,Living with Partner,1.64,English
111972,37,Female,2,Mexican American,Living with Partner,1.36,Spanish
111973,51,Female,1,Mexican American,Other,NA,Spanish
111974,26,Male,2,Mexican American,Living with Partner,1.46,Spanish
111975,59,Female,3,Black,Other,NA,English
111976,9,Male,NA,Missing,NA,4.07,English
111978,0,Female,NA,White,NA,5,English
111979,20,Female,4,Black,Other,0.73,English
111980,47,Female,3,White,Other,1.66,English
111982,25,Female,4,Black,Living with Partner,NA,English
111983,63,Male,3,Black,Other,0.59,English
111984,34,Female,4,Other,Living with Partner,0.87,English
111985,42,Female,3,Black,Living with Partner,1.33,English
111986,60,Male,5,Black,Other,4.98,English
111987,1,Male,NA,Other Hispanic,NA,2.64,English
111988,11,Male,NA,White,NA,1.82,English
111989,15,Female,NA,Black,NA,1.41,English
111990,61,Female,5,Other Hispanic,Living with Partner,0.91,English
111991,44,Female,5,White,Other,5,English
111992,0,Male,NA,White,NA,1.02,English
111993,38,Male,5,Black,Other,5,English
111994,63,Male,2,Other Hispanic,Other,1.39,English
111995,22,Male,3,White,Living with Partner,NA,English
111996,11,Female,NA,Black,NA,0.28,English
111997,77,Male,3,White,Other,1.62,English
111998,9,Female,NA,Other,NA,NA,English
111999,47,Male,4,White,Living with Partner,0.63,English
112000,11,Male,NA,White,NA,4.27,English
112001,59,Male,4,White,Living with Partner,5,English
112002,33,Female,4,Other,Living with Partner,0.47,English
112003,6,Female,NA,White,NA,1.61,English
112004,19,Male,NA,Black,NA,0.66,English
112005,77,Male,5,White,Other,1.08,English
112006,4,Male,NA,White,NA,3.69,English
112007,1,Female,NA,White,NA,NA,English
112008,77,Male,5,Other,Living with Partner,5,English
112009,2,Female,NA,White,NA,1.35,English
112010,29,Male,4,Black,Living with Partner,2.99,English
112011,60,Male,5,White,Living with Partner,NA,English
112012,32,Male,2,Black,Other,2.11,English
112013,14,Female,NA,Other Hispanic,NA,0.58,Spanish
112014,59,Male,3,White,Other,0.99,English
112015,79,Female,2,Black,Other,0.12,English
112016,55,Female,3,Black,Other,2.77,English
112017,14,Female,NA,Black,NA,1.11,English
112018,29,Male,3,Black,Living with Partner,2.6,English
112019,74,Female,4,White,Living with Partner,4.64,English
112020,20,Female,3,Other,Other,NA,English
112021,52,Female,5,White,Living with Partner,5,English
112022,77,Female,1,Other Hispanic,Living with Partner,0.86,Spanish
112023,41,Female,4,White,Living with Partner,NA,English
112025,57,Male,4,White,Living with Partner,5,English
112026,12,Male,NA,Other Hispanic,NA,0.58,Spanish
112027,20,Male,4,Black,Other,0.25,English
112028,55,Female,4,White,Living with Partner,0.09,English
112030,72,Male,3,White,Living with Partner,5,English
112031,18,Male,NA,Missing,NA,NA,English
112032,2,Female,NA,White,NA,4.07,English
112033,17,Female,NA,Black,NA,0.4,English
112034,21,Female,4,White,Living with Partner,2.72,English
112035,14,Male,NA,White,NA,0.98,English
112036,13,Male,NA,Other,NA,5,English
112038,33,Male,4,Black,Other,1.7,English
112039,8,Male,NA,White,NA,4.08,English
112040,23,Male,3,White,Other,5,English
112041,30,Male,1,Other Hispanic,Other,NA,Spanish
112042,12,Female,NA,Black,NA,1.61,English
112043,8,Male,NA,Other Hispanic,NA,0.67,Spanish
112045,67,Male,3,White,Other,0.86,English
112046,10,Male,NA,White,NA,NA,English
112047,63,Male,4,Mexican American,Living with Partner,3.95,English
112048,4,Female,NA,White,NA,1.81,English
112049,10,Male,NA,Mexican American,NA,1.31,English
112050,61,Female,5,White,Living with Partner,5,English
112051,13,Male,NA,Black,NA,2.02,English
112052,44,Male,2,Missing,Living with Partner,1.22,English
112053,77,Female,4,Black,Other,1.65,English
112054,55,Female,4,White,Living with Partner,5,English
112055,39,Female,4,White,Living with Partner,3.06,English
112056,5,Male,NA,Other,NA,1.16,English
112057,8,Female,NA,White,NA,1.75,English
112058,17,Male,NA,Other,NA,3.59,English
112059,43,Female,2,Other,Living with Partner,1.15,English
112060,43,Male,5,Black,Living with Partner,3.03,English
112061,13,Female,NA,Mexican American,NA,0.69,Spanish
112062,1,Male,NA,Mexican American,NA,0.71,English
112063,41,Female,4,Black,Living with Partner,2.02,English
112064,12,Male,NA,White,NA,0.56,English
112066,7,Female,NA,Other Hispanic,NA,0.44,Spanish
112067,63,Male,2,Other Hispanic,Other,NA,English
112068,13,Male,NA,Black,NA,0.65,English
112069,3,Male,NA,Other Hispanic,NA,1.1,English
112071,57,Female,2,Mexican American,Living with Partner,NA,Spanish
112072,62,Male,5,White,Other,2.08,English
112073,28,Male,3,Mexican American,Living with Partner,0.53,Spanish
112075,10,Female,NA,Mexican American,NA,0.12,Spanish
112076,7,Female,NA,Other Hispanic,NA,0.48,Spanish
112077,25,Female,3,Missing,Living with Partner,0.83,English
112078,61,Male,5,Other,Living with Partner,NA,English
112079,70,Female,5,Other,Living with Partner,5,English
112080,56,Male,5,Other,Living with Partner,3.85,English
112081,74,Male,4,White,Living with Partner,1.58,English
112082,15,Male,NA,Mexican American,NA,2.66,English
112084,74,Male,4,White,Living with Partner,NA,English
112085,20,Female,4,Other,Other,NA,English
112086,50,Male,1,Mexican American,Living with Partner,0.96,Spanish
112087,7,Female,NA,Missing,NA,0.33,English
112088,26,Female,4,Black,Other,5,English
112089,54,Female,3,White,Other,1.68,English
112090,74,Female,5,Black,Other,4,English
112092,42,Male,5,Black,Living with Partner,4.07,English
112093,5,Female,NA,White,NA,0.62,English
112095,67,Male,1,Mexican American,Living with Partner,1.75,Spanish
112096,12,Male,NA,Black,NA,0.01,English
112098,62,Female,2,Other,Living with Partner,2.98,English
112099,72,Female,1,Mexican American,Living with Partner,NA,English
112100,56,Male,1,White,Living with Partner,NA,Spanish
112102,38,Male,4,Mexican American,Living with Partner,2.63,English
112104,67,Female,4,Missing,Other,NA,English
112105,55,Male,3,White,Living with Partner,2.99,English
112106,30,Male,4,Other,Other,2.89,English
112107,14,Female,NA,White,NA,0.05,English
112108,53,Female,5,Black,Living with Partner,5,English
112109,38,Male,3,Black,Other,2.81,English
112110,37,Female,5,White,Living with Partner,5,English
112112,3,Female,NA,White,NA,0.61,English
112113,70,Female,4,Black,Other,4.64,English
112114,0,Female,NA,White,NA,1.13,English
112115,46,Male,2,Black,Living with Partner,1.06,English
112116,45,Male,5,Other,Living with Partner,4.17,English
112117,72,Male,3,Other Hispanic,Living with Partner,0.82,Spanish
112118,34,Female,2,Other Hispanic,Other,NA,English
112119,15,Female,NA,Other,NA,0.65,English
112120,20,Female,4,Other,Other,2.98,English
112122,22,Female,3,Mexican American,Other,NA,English
112123,79,Male,4,White,Living with Partner,1.17,English
112124,71,Male,2,Mexican American,Other,NA,Spanish
112125,19,Male,NA,Mexican American,NA,5,English
112126,68,Female,4,White,Living with Partner,1.48,English
112127,50,Female,4,Black,Living with Partner,4.07,English
112129,14,Male,NA,Black,NA,1.16,English
112130,5,Male,NA,Black,NA,NA,English
112131,43,Male,1,Mexican American,Living with Partner,1.5,Spanish
112132,63,Male,2,White,Living with Partner,1.06,English
112133,11,Male,NA,White,NA,0.96,English
112134,77,Male,1,Black,Living with Partner,1.25,English
112135,65,Female,5,Other,Living with Partner,NA,English
112136,61,Male,5,Mexican American,Living with Partner,5,English
112137,54,Female,1,Mexican American,Living with Partner,0.77,Spanish
112139,33,Female,4,Mexican American,Living with Partner,1.47,Spanish
112140,8,Female,NA,Missing,NA,5,English
112141,0,Female,NA,White,NA,0.85,English
112142,55,Female,3,White,Living with Partner,3.88,English
112143,3,Female,NA,Other,NA,NA,English
112144,12,Male,NA,Other Hispanic,NA,0.85,English
112145,41,Female,3,Missing,Other,1.47,English
112146,31,Female,4,Black,Other,1.57,English
112147,5,Female,NA,White,NA,5,English
112148,32,Female,5,White,Other,5,English
112149,64,Male,5,Black,Living with Partner,1.22,English
112150,6,Male,NA,Other Hispanic,NA,5,Spanish
112151,5,Female,NA,Missing,NA,3.05,English
112152,0,Female,NA,Mexican American,NA,1.44,English
112153,3,Male,NA,White,NA,5,English
112155,9,Male,NA,Missing,NA,1.8,English
112156,43,Female,5,Other,Living with Partner,NA,English
112157,3,Male,NA,Mexican American,NA,0.48,Spanish
112158,33,Female,5,White,Other,4.8,English
112159,64,Male,3,Black,Other,1.8,English
112160,10,Male,NA,Black,NA,1.47,English
112161,45,Female,2,Black,Other,0.97,English
112162,2,Male,NA,Mexican American,NA,0.78,Spanish
112163,8,Female,NA,Mexican American,NA,2.86,English
112164,40,Female,5,White,Other,1.32,English
112165,19,Male,NA,Black,NA,4.64,English
112166,13,Female,NA,Black,NA,1.14,English
112167,0,Female,NA,White,NA,NA,English
112168,55,Female,5,Black,Living with Partner,5,English
112169,61,Male,4,White,Other,2.24,English
112170,57,Female,4,White,Living with Partner,3.88,English
112171,66,Female,1,Other,Living with Partner,1.63,English
112172,17,Female,NA,White,NA,0.88,English
112173,26,Male,2,Other Hispanic,Living with Partner,0.63,English
112174,60,Female,4,Black,Other,NA,English
112175,12,Male,NA,White,NA,1.93,English
112179,0,Female,NA,Black,NA,5,English
112180,76,Female,3,Other,Other,1.32,English
112181,13,Female,NA,Black,NA,0.99,English
112182,41,Male,4,White,Living with Partner,3.05,English
112183,34,Female,2,Black,Other,1.02,English
112184,60,Male,3,White,Living with Partner,3.36,English
112185,8,Male,NA,White,NA,1.05,English
112186,51,Female,3,Black,Other,1.22,English
112187,58,Female,4,Mexican American,Other,2.59,Spanish
112188,1,Male,NA,Other Hispanic,NA,4.69,English
112189,10,Female,NA,Black,NA,2.81,English
112190,72,Male,2,Mexican American,Living with Partner,1.03,English
112191,41,Male,2,Other Hispanic,Living with Partner,NA,Spanish
112193,65,Male,1,Other Hispanic,Living with Partner,0.7,Spanish
112194,69,Female,4,White,Other,5,English
112195,60,Female,2,Other Hispanic,Other,1.13,English
112196,12,Female,NA,Missing,NA,1.7,English
112197,12,Male,NA,Black,NA,NA,English
112198,48,Female,2,White,Other,NA,English
112199,10,Male,NA,Other,NA,NA,English
112201,24,Female,3,Mexican American,Other,4.45,English
112202,5,Female,NA,Black,NA,3.88,English
112203,17,Female,NA,Other,NA,5,English
112204,13,Male,NA,Mexican American,NA,0.01,Spanish
112205,49,Male,3,Black,Living with Partner,2.9,English
112206,22,Male,4,Black,Other,2.03,English
112207,53,Female,4,Other Hispanic,Living with Partner,2.67,Spanish
112208,22,Male,2,Black,Living with Partner,0.05,English
112209,39,Female,5,Other Hispanic,Other,NA,Spanish
112210,53,Male,5,Other,Living with Partner,5,English
112211,42,Male,3,Mexican American,Living with Partner,2.02,English
112212,65,Male,5,Missing,Living with Partner,4,English
112213,39,Female,4,White,Other,0.71,English
112214,11,Female,NA,Black,NA,1.01,English
112215,63,Male,2,Black,Other,0.45,English
112216,12,Male,NA,Other,NA,5,English
112217,3,Male,NA,Other Hispanic,NA,4.45,English
112218,42,Male,4,Black,Living with Partner,5,English
112219,23,Male,4,Missing,Other,1.34,English
112220,11,Male,NA,Other,NA,3.86,English
112221,54,Female,5,Black,Other,2.13,English
112222,21,Male,4,Other Hispanic,Other,NA,English
112223,16,Male,NA,Black,NA,5,English
112224,1,Male,NA,Black,NA,NA,English
112225,4,Male,NA,Black,NA,1.77,English
112226,76,Male,4,White,Living with Partner,NA,English
112227,7,Female,NA,Missing,NA,0.31,English
112228,27,Female,5,White,Living with Partner,5,English
112229,15,Female,NA,White,NA,2.44,English
112230,60,Male,3,White,Living with Partner,5,English
112231,19,Female,NA,White,NA,0.91,English
112232,15,Female,NA,Black,NA,4.27,English
112233,63,Female,2,Black,Other,2,English
112235,40,Female,4,Black,Other,1.69,English
112236,36,Female,4,Black,Living with Partner,0.73,English
112237,69,Female,5,Other,Living with Partner,5,English
112238,66,Female,1,Mexican American,Living with Partner,1,Spanish
112239,38,Female,3,Black,Other,0.87,English
112241,42,Male,3,White,Living with Partner,5,English
112242,28,Male,4,Other Hispanic,Living with Partner,3.55,English
112243,69,Female,4,White,Living with Partner,1.86,English
112244,66,Female,1,Black,Other,NA,English
112245,15,Male,NA,White,NA,1.13,English
112247,11,Female,NA,Black,NA,0.38,English
112248,32,Female,4,Missing,Other,0.28,English
112249,11,Female,NA,White,NA,0.76,English
112250,55,Female,5,Other,Living with Partner,1.48,English
112251,27,Female,2,Mexican American,Living with Partner,0.59,English
112252,32,Male,3,White,Living with Partner,1.59,English
112254,19,Male,NA,Black,NA,2.02,English
112255,14,Female,NA,Black,NA,NA,English
112256,30,Male,4,Black,Other,1.18,English
112257,3,Male,NA,Black,NA,NA,English
112258,1,Female,NA,White,NA,2,English
112259,7,Female,NA,White,NA,1.52,English
112261,13,Male,NA,Black,NA,0,English
112262,0,Female,NA,Mexican American,NA,0.4,Spanish
112263,6,Male,NA,White,NA,0.62,English
112264,0,Male,NA,Missing,NA,0,English
112265,61,Male,2,Mexican American,Living with Partner,5,Spanish
112267,13,Female,NA,Mexican American,NA,1.52,Spanish
112268,78,Male,5,White,Living with Partner,5,English
112269,71,Female,4,White,Living with Partner,2.71,English
112270,58,Male,2,Mexican American,Other,1.59,Spanish
112271,70,Female,1,Mexican American,Other,NA,Spanish
112272,6,Male,NA,White,NA,3.73,English
112273,21,Female,4,Mexican American,Other,1.35,English
112274,4,Female,NA,Black,NA,NA,English
112275,46,Female,4,Black,Living with Partner,2.03,English
112276,61,Female,5,Black,Other,1.4,English
112277,37,Male,4,Other Hispanic,Living with Partner,1.89,Spanish
112278,12,Male,NA,Other,NA,3.4,English
112279,10,Male,NA,Black,NA,0.88,English
112280,58,Female,2,Black,Other,0,English
112282,50,Female,4,Black,Other,1.05,English
112283,4,Female,NA,White,NA,2.82,English
112284,30,Female,4,White,Living with Partner,2.43,English
112285,65,Male,5,Black,Other,1.69,English
112286,5,Male,NA,Black,NA,NA,English
112287,75,Female,2,Black,Other,1.52,English
112288,39,Female,4,Other Hispanic,Living with Partner,1.22,English
112289,29,Male,4,White,Living with Partner,1.79,English
112290,13,Male,NA,White,NA,1.82,English
112291,65,Male,3,White,Living with Partner,0.62,English
112292,21,Male,3,Black,Other,NA,English
112293,7,Female,NA,White,NA,2.95,English
112294,56,Male,3,Mexican American,Living with Partner,4.45,Spanish
112295,49,Female,4,White,Living with Partner,NA,English
112296,41,Male,4,Black,Living with Partner,2.47,English
112297,3,Male,NA,Mexican American,NA,4.47,English
112298,9,Female,NA,White,NA,0.76,English
112299,56,Female,4,White,Living with Partner,1.98,English
112300,64,Male,4,White,Living with Partner,5,English
112301,2,Female,NA,Black,NA,NA,English
