id,age,gender,edu_level,race,family_status,ratio_to_poverty,lang_interview
109411,55,Female,5,Black,Living with Partner,5,English
109412,7,Female,NA,Black,NA,NA,English
109413,59,Female,4,Other,Living with Partner,NA,English
109414,62,Female,3,Mexican American,Living with Partner,0.77,English
109415,61,Female,5,Black,Living with Partner,3.69,English
109416,60,Male,1,White,Other,1.54,English
109417,17,Male,NA,Black,NA,1.14,English
109418,1,Female,NA,Black,NA,0.61,English
109419,1,Female,NA,White,NA,1.67,English
109420,3,Male,NA,White,NA,3.05,English
109421,0,Female,NA,Black,NA,2.81,English
109422,1,Female,NA,Black,NA,0.56,English
109423,28,Female,3,Mexican American,Other,NA,Spanish
109424,11,Male,NA,White,NA,5,English
109425,8,Male,NA,White,NA,5,English
109426,61,Female,5,Other,Living with Partner,4.72,English
109427,11,Female,NA,White,NA,5,English
109429,27,Male,2,White,Living with Partner,0.81,English
109430,1,Female,NA,Other,NA,2.38,English
109431,45,Female,4,Other Hispanic,Living with Partner,5,English
109432,44,Female,5,Black,Other,3.66,English
109433,5,Male,NA,Missing,NA,0.94,English
109434,15,Male,NA,Black,NA,0.51,English
109435,62,Male,3,Missing,Living with Partner,0.46,English
109438,0,Female,NA,Mexican American,NA,3.37,English
109439,59,Female,4,Black,Other,1.8,English
109440,18,Male,NA,Black,NA,NA,English
109441,20,Female,4,White,Other,0.41,English
109442,2,Male,NA,Black,NA,1.53,English
109443,1,Male,NA,Black,NA,1.9,English
109444,21,Male,3,Black,Other,1.07,English
109445,11,Male,NA,Black,NA,NA,English
109446,12,Male,NA,White,NA,0.85,English
109447,25,Female,4,White,Living with Partner,1.44,English
109448,0,Male,NA,Other,NA,4.92,English
109449,13,Male,NA,Black,NA,2.03,English
109450,29,Male,2,Missing,Living with Partner,0.61,English
109451,37,Male,5,Black,Living with Partner,3.43,English
109452,1,Male,NA,Other Hispanic,NA,NA,Spanish
109453,7,Male,NA,Black,NA,0.06,English
109454,25,Female,4,Black,Other,0.29,English
109455,40,Male,4,White,Living with Partner,5,English
109456,13,Male,NA,Mexican American,NA,1.38,Spanish
109457,76,Male,5,White,Living with Partner,5,English
109458,18,Male,NA,Other,NA,0.64,English
109459,32,Male,4,Other,Other,2.66,English
109462,0,Male,NA,White,NA,5,English
109463,0,Male,NA,White,NA,2.85,English
109464,30,Male,3,Other,Other,1.43,English
109465,17,Male,NA,White,NA,0.28,English
109466,40,Male,3,Mexican American,Living with Partner,NA,Spanish
109467,21,Male,4,White,Other,5,English
109468,60,Male,3,White,Living with Partner,1.47,English
