imdb_id,title,year,language,genre,director,writer,country,imdb_votes,rating_imdb,rating_rt,rating_mc,runtime_raw,wikipedia_pageid,wikipedia_description,wikipedia_extract,budget_raw,box_office_raw
tt0073948,Adoption,1975,Hungarian,Drama,Márta Mészáros,Márta Mészáros|Gyula Hernádi|Ferenc Grunwalsky,Hungary,1508,7.2,100,,89,8865498,1975 Hungarian drama film,"Adoption is a 1975 Hungarian drama film directed by Márta Mészáros. It was entered into the 25th Berlin International Film Festival, where it won the Golden Bear. The film was also selected as the Hungarian entry for the Best Foreign Language Film at the 48th Academy Awards, but was not accepted as a nominee.",,
tt0427550,Two Tons of Turquoise to Taos Tonight,1975,English,Comedy,Robert Downey Sr.,Robert Downey Sr.|Elsie Downey,United States,241,5.5,,,85,,,,,
tt0073152,Kings of the Road,1976,German|English,Drama,Wim Wenders,Wim Wenders,West Germany,7034,7.6,100,,168,8862350,1976 West German film,"Kings of the Road is a 1976 German road film directed by Wim Wenders. It was the third part of Wenders' ""Road Movie trilogy"" which included Alice in the Cities (1974) and The Wrong Move (1975). It was the unanimous winner of the FIPRESCI Prize at the 1976 Cannes Film Festival.",,
tt0073467,Not a Pretty Picture,1976,English,Documentary|Crime|Drama,Martha Coolidge,Martha Coolidge,United States,86,8.1,100,,83,36821225,1976 film by Martha Coolidge,"Not a Pretty Picture is a 1976 American docudrama film. The film was written, produced and directed by Martha Coolidge, marking her narrative feature film directorial debut, after years of working as a documentary filmmaker in the early to mid-1970s. The film recreates Coolidge's experience of being raped by an acquaintance when she was sixteen years old in 1962, then focuses on the aftermath. The film first premiered in March 31, 1976 in New York City. It went on to screen at the 1976 Toronto International Film Festival, 1978 Sundance Film Festival and in arthouse theaters. In 2022, the film was restored by the Academy Film Archive and The Film Foundation and was given a limited theatrical release.",,
tt0074102,In the Realm of the Senses,1976,Japanese,Drama|Romance,Nagisa Ôshima,Nagisa Ôshima|Kôji Wakamatsu,Japan|France,24558,6.6,84,,103,1134154,1976 Japanese film by Nagisa Ōshima,"In the Realm of the Senses is a 1976 erotic art film written and directed by Nagisa Ōshima. It is a fictionalised and sexually explicit treatment of a 1936 murder committed by Sada Abe. An international coproduction of France and Japan, the film generated great controversy at the time of its release. The film had the involvement of pink film luminary Kōji Wakamatsu as co-screenwriter and assistant producer. While intended for mainstream wide release, the film contains scenes of unsimulated sexual activity between the actors.",,
tt0074360,Cría Cuervos,1976,Spanish,Drama,Carlos Saura,Carlos Saura,Spain,11975,7.9,100,,112,4861305,1976 Spanish psychological drama film by Carlos Saura,"Cría cuervos is a 1976 Spanish psychological drama film written and directed by Carlos Saura and produced by Elías Querejeta. The film is an allegorical drama about an eight-year-old girl dealing with her troubled childhood. It stars Geraldine Chaplin and Ana Torrent and co-stars Mónica Randall, Conchi Perez, Mayte Sanchez, Florinda Chico and Héctor Alterio.",,
tt0074515,Coup de Grâce,1976,German|French,Drama|War,Volker Schlöndorff,Marguerite Yourcenar|Geneviève Dormann|Margarethe von Trotta,France|West Germany,1467,6.9,,,97,4627909,1976 West German film,"Coup de Grâce is a 1976 West German drama war film directed by Volker Schlöndorff.
Adapted from the novel Coup de Grâce by the French author Marguerite Yourcenar, the war film explores passion amid underlying political tones. The title comes from the French expression, meaning ""finishing blow"". An opening title dedicates the film to Jean-Pierre Melville, for whom Schlöndorff had worked as an assistant director.",,
tt0074605,Harlan County U.S.A.,1976,English,Documentary,Barbara Kopple,N/A,United States,6824,8.2,100,80,103,733609,1976 American documentary film,"Harlan County USA is a 1976 American documentary film covering the ""Brookside Strike"", a 1973 effort of 180 coal miners and their wives against the Duke Power Company-owned Eastover Coal Company's Brookside Mine and Prep Plant in Harlan County, southeast Kentucky. It won the Academy Award for Best Documentary at the 49th Academy Awards.",,
tt0074749,The Killing of a Chinese Bookie,1976,English,Crime|Drama|Thriller,John Cassavetes,John Cassavetes,United States,15263,7.3,79,65,135,2459695,1976 film by John Cassavetes,"The Killing of a Chinese Bookie is a 1976 American neo-noir crime film written and directed by John Cassavetes and starring Ben Gazzara. A rough and gritty film, this is the second of their three collaborations, following Husbands and preceding Opening Night. Timothy Carey, Seymour Cassel, Morgan Woodward, Meade Roberts, and Azizi Johari appear in supporting roles.",,
tt0074782,A Suit for Wedding,1976,Persian|Azerbaijani,Drama,Abbas Kiarostami,Parviz Davayi|Abbas Kiarostami,Iran,856,7.1,,,54,9307148,1976 Iranian film,A Wedding Suit is a 1976 Iranian comedy film directed by Abbas Kiarostami.,,
